Chapter,Number,Name,Xp,Status,ID
1,1,Knowledge Check - C#,25,Pending
1,2,Install Visual Studio,75,Pending
1,3,"Hello, World!",50,Pending
1,4,What Comes Next,50,Pending
1,5,The Makings of a Programmer,50,Pending
1,6,Consolas and Telim,50,Pending
1,7,The Thing Namer 3000,100,Pending
1,8,Knowledge Check - Variables,25,Pending
1,9,The Variable Shop,100,Pending
1,10,The Variable Shop Returns,50,Pending
1,11,Knowledge Check - Type System,25,Pending
1,12,The Triangle Farmer,100,Pending
1,13,The Four Sisters and the Duckbear,100,Pending
1,14,The Dominion of Kings,100,Pending
1,15,The Defense of Consolas,200,Pending
1,16,Repairing the Clocktower,100,Pending
1,17,Watchtower,100,Pending
1,18,Buying Inventory,100,Pending
1,19,Discounted Inventory,50,Pending
1,20,The Prototype,100,Pending
1,21,The Magic Cannon,100,Pending
1,22,The Replicator of D' To,100,Pending
1,23,The Laws of Freach,50,Pending
1,24,Taking a Number,100,Pending
1,25,Countdown,100,Pending
1,26,Knowledge Check - Memory,25,Pending
1,27,Hunting the Manticore,250,Pending
2,1,Knowledge Check - Objects,25,Pending
2,2,Simula's Test,100,Pending
2,3,Simula's Soups,100,Pending
2,4,Vin Fletcher's Arrows,100,Pending
2,5,Vin's Trouble,50,Pending
2,6,The Properties of Arrows,100,Pending
2,7,Arrow Factories,100,Pending
2,8,The Point,75,Pending
2,9,The Color,100,Pending
2,10,The Card,100,Pending
2,11,The Locked Door,100,Pending
2,12,The Password Validator,100,Pending
2,13,Rock-Paper-Scissors,150,Pending
2,14,15-Puzzle,150,Pending
2,15,Hangman,150,Pending
2,16,Tic-Tac-Toe,300,Pending
2,17,Packing Inventory,150,Pending
2,18,Labeling Inventory,50,Pending
2,19,The Old Robot,200,Pending
2,20,Robotic Interface,75,Pending
2,21,Room Coordinates,50,Pending
2,22,War Preparations,100,Pending
2,23,Colored Items,100,Pending
2,24,The Fountain of Objects,500,Pending
2,25,"Small, Medium, or Large",100,Pending
2,26,Pits,100,Pending
2,27,Maelstroms,100,Pending
2,28,Amaroks,100,Pending
2,29,Getting Armed,100,Pending
2,30,Getting Help,100,Pending
2,31,The Robot Pilot,50,Pending
2,32,Time in the Cavern,50,Pending
2,33,Lists of Commands,75,Pending
3,1,Knowledge Check - Large Programs,25,Pending
3,2,The Feud,75,Pending
3,3,Dueling Traditions,100,Pending
3,4,Safer Number Crunching,50,Pending
3,5,Knowledge Check - Methods,25,Pending
3,6,Better Random,100,Pending
3,7,Exepti's Game,100,Pending
3,8,The Sieve,100,Pending
3,9,Knowledge Check - Events,25,Pending
3,10,Charberry Trees,100,Pending
3,11,Knowledge Check - Lambdas,25,Pending
3,12,The Lambda Sieve,50,Pending
3,13,The Long Game,100,Pending
3,14,The Potion Masters of Pattren,150,Pending
3,15,Knowledge Check - Operators,25,Pending
3,16,Navigating Operand City,100,Pending
3,17,Indexing Operand City,75,Pending
3,18,Converting Directions to Offsets,50,Pending
3,19,Knowledge Check - Queries,25,Pending
3,20,The Three Lenses,100,Pending
3,21,The Repeating Stream,150,Pending
3,22,Knowledge Check - Async,25,Pending
3,23,Asynchronous Random Words,150,Pending
3,24,Many Random Words,50,Pending
3,25,Uniter of Adds,75,Pending
3,26,The Robot Factory,100,Pending
3,27,Knowledge Check - Unsafe Code,25,Pending
3,28,Knowledge Check - Other Features,25,Pending
3,29,Colored Console,100,Pending
3,30,The Great Humanizer,100,Pending
3,31,Knowledge Check - Compiling,25,Pending
3,32,Knowledge Check - .NET,25,Pending
3,33,Altar of Publication,100,Pending
4,1,Core Game: Building Character,300,Pending
4,2,Core Game: The True Programmer,100,Pending
4,3,Core Game: Actions and Players,300,Pending
4,4,Core Game: Attacks,200,Pending
4,5,Core Game: Damage and HP,150,Pending
4,6,Core Game: Death,150,Pending
4,7,Core Game: Battle Series,150,Pending
4,8,Core Game: The Uncoded One,100,Pending
4,9,Core Game: The Player Decides,200,Pending
4,10,Expansion: The Game's Status,100,Pending
4,11,Expansion: Items,200,Pending
4,12,Expansion: Gear,300,Pending
4,13,Expansion: Stolen Inventory,200,Pending
4,14,Expansion: Vin Fletcher,200,Pending
4,15,Expansion: Attack Modifiers,200,Pending
4,16,Expansion: Damage Types,200,Pending
4,17,Expansion: Making it Yours,0,Pending
4,18,Expansion: Restoring Balance,150,Pending
